id,type,district,ward,address,price,area,bedrooms,direction,legal_status,amenities,description,posted_date,status
SP001,Nhà phố,Quận Bình Thạnh,Phường 19,"84 Võ Văn Tần, Phường 19, Quận Bình Thạnh, TP.HCM",21000000000,225,4,Đông Bắc,Sổ đỏ,"Parking, Security, Maintenance","Shophouse mới xây, thiết kế đẹp, vị trí đắc địa. Phù hợp kinh doanh hoặc cho thuê văn phòng.",2025-08-14,pending
SP002,Shophouse,Quận 3,Phường 13,"199 Võ Văn Tần, Phường 13, Quận 3, TP.HCM",28000000000,174,3,Nam,Sổ hồng,"Parking, Security, Maintenance","Nhà phố hẻm xe hơi, yên tĩnh, an ninh tốt. Gần trường học, bệnh viện, siêu thị.",2025-08-14,pending
SP003,Văn phòng,Quận 1,Phường Tân Định,"95 Pasteur, Phường Tân Định, Quận 1, TP.HCM",14000000000,97,0,Tây Bắc,Sổ hồng,"Playground, Library, Business center","Biệt thự sang trọng với thiết kế độc đáo, sân vườn rộng, không gian sống thoáng đãng. An ninh 24/7.",2025-08-14,sold
SP004,Căn hộ,Quận 3,Phường 4,"172 Đồng Khởi, Phường 4, Quận 3, TP.HCM",15000000000,95,2,Đông Nam,Sổ hồng,"Playground, Library, Business center","Nhà phố mặt tiền đường lớn, kinh doanh tốt, phù hợp mở shop hoặc văn phòng. Diện tích sử dụng rộng rãi.",2025-08-14,sold
SP005,Văn phòng,Quận 7,Phường Bình Thuận,"31 Lý Tự Trọng, Phường Bình Thuận, Quận 7, TP.HCM",19000000000,195,0,Tây Nam,Sổ hồng,"Swimming pool, Sauna, Conference room","Shophouse mới xây, thiết kế đẹp, vị trí đắc địa. Phù hợp kinh doanh hoặc cho thuê văn phòng.",2025-08-14,sold
SP006,Nhà phố,Quận 1,Phường Nguyễn Thái Bình,"133 Cách Mạng Tháng 8, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",46000000000,129,3,Bắc,Đang hoàn thiện pháp lý,"Trung tâm thương mại, Bến xe buýt, Metro","Căn hộ trung cấp giá tốt, tiện ích cơ bản đầy đủ. Phù hợp gia đình trẻ, sinh viên.",2025-08-14,pending
SP007,Biệt thự,Quận 7,Phường Tân Hưng,"151 Võ Văn Tần, Phường Tân Hưng, Quận 7, TP.HCM",144000000000,232,5,Bắc,Sổ hồng,"Hồ bơi, Gym, An ninh 24/7","Nhà phố mặt tiền đường lớn, kinh doanh tốt, phù hợp mở shop hoặc văn phòng. Diện tích sử dụng rộng rãi.",2025-08-14,available
SP008,Văn phòng,Quận Thủ Đức,Phường Trường Thọ,"126 3 Tháng 2, Phường Trường Thọ, Quận Thủ Đức, TP.HCM",22000000000,121,0,Tây Bắc,Sổ hồng,"Thang máy, Chỗ đậu xe, Sân chơi trẻ em","Văn phòng cho thuê tại tòa nhà văn phòng cao cấp. Vị trí trung tâm, giao thông thuận tiện.",2025-08-14,available
SP009,Biệt thự,Quận 3,Phường 6,"188 Võ Văn Tần, Phường 6, Quận 3, TP.HCM",89000000000,235,6,Nam,Hợp đồng mua bán,"Gym, Spa, Restaurant","Văn phòng cho thuê tại tòa nhà văn phòng cao cấp. Vị trí trung tâm, giao thông thuận tiện.",2025-08-14,available
SP010,Shophouse,Quận 7,Phường Tân Phú,"155 Võ Thị Sáu, Phường Tân Phú, Quận 7, TP.HCM",32000000000,225,3,Nam,Đang hoàn thiện pháp lý,"Công viên gần đó, Nhà hàng, Cafe","Biệt thự mini với sân thượng rộng, view thành phố. Phù hợp gia đình nhỏ.",2025-08-14,sold
SP011,Văn phòng,Quận 3,Phường 7,"87 Điện Biên Phủ, Phường 7, Quận 3, TP.HCM",10000000000,174,0,Đông Nam,Sổ đỏ,"Hồ bơi, Gym, An ninh 24/7","Căn hộ trung cấp giá tốt, tiện ích cơ bản đầy đủ. Phù hợp gia đình trẻ, sinh viên.",2025-08-14,available
SP012,Căn hộ,Quận Thủ Đức,Phường Linh Đông,"7 Lý Tự Trọng, Phường Linh Đông, Quận Thủ Đức, TP.HCM",10000000000,76,3,Đông Bắc,Sổ hồng,"Sân tennis, BBQ area, Garden","Căn hộ view sông, không khí trong lành. Thiết kế tối ưu, tiết kiệm năng lượng.",2025-08-14,sold
SP013,Văn phòng,Quận Gò Vấp,Phường 6,"13 Võ Văn Tần, Phường 6, Quận Gò Vấp, TP.HCM",13000000000,125,0,Nam,Hợp đồng mua bán,"Gần trường học, Siêu thị, Bệnh viện","Căn hộ cao cấp với thiết kế hiện đại, view đẹp, tiện ích đầy đủ. Vị trí thuận lợi, giao thông thuận tiện.",2025-08-14,sold
SP014,Biệt thự,Quận 1,Phường Nguyễn Thái Bình,"147 3 Tháng 2, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",53000000000,299,6,Đông,Hợp đồng mua bán,"Hồ bơi, Gym, An ninh 24/7","Nhà phố hẻm xe hơi, yên tĩnh, an ninh tốt. Gần trường học, bệnh viện, siêu thị.",2025-08-14,sold
SP015,Biệt thự,Quận Bình Thạnh,Phường 26,"36 Lê Lợi, Phường 26, Quận Bình Thạnh, TP.HCM",121000000000,332,6,Tây Nam,Sổ đỏ,"Gym, Spa, Restaurant","Nhà phố hẻm xe hơi, yên tĩnh, an ninh tốt. Gần trường học, bệnh viện, siêu thị.",2025-08-14,sold
SP016,Biệt thự,Quận 1,Phường Cầu Kho,"97 Lý Tự Trọng, Phường Cầu Kho, Quận 1, TP.HCM",74000000000,281,6,Đông,Sổ hồng,"Parking, Security, Maintenance","Văn phòng cho thuê tại tòa nhà văn phòng cao cấp. Vị trí trung tâm, giao thông thuận tiện.",2025-08-14,sold
SP017,Shophouse,Quận 1,Phường Bến Nghé,"199 Lý Tự Trọng, Phường Bến Nghé, Quận 1, TP.HCM",46000000000,224,3,Nam,Sổ hồng,"Hồ bơi, Gym, An ninh 24/7","Biệt thự sang trọng với thiết kế độc đáo, sân vườn rộng, không gian sống thoáng đãng. An ninh 24/7.",2025-08-14,sold
SP018,Văn phòng,Quận 3,Phường 2,"133 Đồng Khởi, Phường 2, Quận 3, TP.HCM",23000000000,140,0,Đông,Đang hoàn thiện pháp lý,"Gần trường học, Siêu thị, Bệnh viện","Nhà phố hẻm xe hơi, yên tĩnh, an ninh tốt. Gần trường học, bệnh viện, siêu thị.",2025-08-14,available
SP019,Căn hộ,Quận 1,Phường Cầu Ông Lãnh,"55 Võ Thị Sáu, Phường Cầu Ông Lãnh, Quận 1, TP.HCM",21000000000,105,3,Tây Nam,Sổ hồng,"Công viên gần đó, Nhà hàng, Cafe","Nhà phố mặt tiền đường lớn, kinh doanh tốt, phù hợp mở shop hoặc văn phòng. Diện tích sử dụng rộng rãi.",2025-08-14,pending
SP020,Biệt thự,Quận Bình Thạnh,Phường 3,"123 Nguyễn Thị Minh Khai, Phường 3, Quận Bình Thạnh, TP.HCM",77000000000,219,4,Đông Nam,Sổ hồng,"Gần trường học, Siêu thị, Bệnh viện","Căn hộ cao cấp với thiết kế hiện đại, view đẹp, tiện ích đầy đủ. Vị trí thuận lợi, giao thông thuận tiện.",2025-08-14,available
SP021,Shophouse,Quận 7,Phường Phú Mỹ,"24 Lý Tự Trọng, Phường Phú Mỹ, Quận 7, TP.HCM",50000000000,168,3,Đông Bắc,Đang hoàn thiện pháp lý,"Playground, Library, Business center","Căn hộ trung cấp giá tốt, tiện ích cơ bản đầy đủ. Phù hợp gia đình trẻ, sinh viên.",2025-08-14,available
SP022,Căn hộ,Quận 1,Phường Nguyễn Cư Trinh,"10 Nguyễn Huệ, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",16000000000,102,3,Đông,Hợp đồng mua bán,"Sân tennis, BBQ area, Garden","Biệt thự mini với sân thượng rộng, view thành phố. Phù hợp gia đình nhỏ.",2025-08-14,sold
SP023,Văn phòng,Quận Gò Vấp,Phường 10,"92 Pasteur, Phường 10, Quận Gò Vấp, TP.HCM",25000000000,163,0,Nam,Sổ đỏ,"Playground, Library, Business center","Nhà phố mặt tiền đường lớn, kinh doanh tốt, phù hợp mở shop hoặc văn phòng. Diện tích sử dụng rộng rãi.",2025-08-14,available
SP024,Văn phòng,Quận 1,Phường Nguyễn Thái Bình,"108 Nguyễn Thị Minh Khai, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",27000000000,147,0,Đông Nam,Hợp đồng mua bán,"Gym, Spa, Restaurant","Biệt thự sang trọng với thiết kế độc đáo, sân vườn rộng, không gian sống thoáng đãng. An ninh 24/7.",2025-08-14,sold
SP025,Shophouse,Quận Gò Vấp,Phường 11,"199 Võ Thị Sáu, Phường 11, Quận Gò Vấp, TP.HCM",30000000000,286,4,Tây,Hợp đồng mua bán,"Playground, Library, Business center","Căn hộ studio giá rẻ, phù hợp người độc thân hoặc sinh viên. Gần trường đại học.",2025-08-14,available
SP026,Căn hộ,Quận Bình Thạnh,Phường 27,"120 Pasteur, Phường 27, Quận Bình Thạnh, TP.HCM",13000000000,130,3,Đông,Hợp đồng mua bán,"Hồ bơi, Gym, An ninh 24/7","Biệt thự mini với sân thượng rộng, view thành phố. Phù hợp gia đình nhỏ.",2025-08-14,pending
SP027,Căn hộ,Quận 7,Phường Phú Thuận,"156 Lý Tự Trọng, Phường Phú Thuận, Quận 7, TP.HCM",9000000000,107,2,Tây Bắc,Sổ đỏ,"Hồ bơi, Gym, An ninh 24/7","Văn phòng cho thuê tại tòa nhà văn phòng cao cấp. Vị trí trung tâm, giao thông thuận tiện.",2025-08-14,available
SP028,Căn hộ,Quận Bình Thạnh,Phường 2,"190 Lê Lợi, Phường 2, Quận Bình Thạnh, TP.HCM",10000000000,124,2,Đông,Hợp đồng mua bán,"Gym, Spa, Restaurant","Nhà phố mặt tiền đường lớn, kinh doanh tốt, phù hợp mở shop hoặc văn phòng. Diện tích sử dụng rộng rãi.",2025-08-14,pending
SP029,Shophouse,Quận 1,Phường Cầu Kho,"70 Võ Thị Sáu, Phường Cầu Kho, Quận 1, TP.HCM",36000000000,275,3,Đông,Đang hoàn thiện pháp lý,"Swimming pool, Sauna, Conference room","Shophouse mới xây, thiết kế đẹp, vị trí đắc địa. Phù hợp kinh doanh hoặc cho thuê văn phòng.",2025-08-14,pending
SP030,Nhà phố,Quận 1,Phường Đa Kao,"76 Nam Kỳ Khởi Nghĩa, Phường Đa Kao, Quận 1, TP.HCM",39000000000,142,4,Nam,Sổ đỏ,"Sân tennis, BBQ area, Garden","Căn hộ view sông, không khí trong lành. Thiết kế tối ưu, tiết kiệm năng lượng.",2025-08-14,pending
